Temperature [_ C],Humidity [%],Soil moisture,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,pH,Health_Label
31.2,93.6,567.0,107,38,53,3.32,Non-Healthy
31.2,93.6,567.0,107,38,53,3.77,Non-Healthy
30.5,74.6,307.0,107,38,53,2.9,Healthy
30.4,76.6,308.0,107,38,53,7.71,Healthy
30.4,76.6,308.0,107,38,53,5.11,Healthy
30.3,77.1,307.0,107,38,53,4.48,Healthy
30.3,76.5,307.0,107,38,53,4.32,Healthy
30.3,78.1,307.0,107,38,53,3.77,Healthy
30.3,78.8,307.0,107,38,53,3.68,Healthy
30.3,78.8,307.0,107,38,53,3.67,Healthy
30.2,77.5,308.0,107,38,53,3.95,Healthy
30.2,77.6,307.0,107,38,53,2.17,Healthy
30.2,77.6,307.0,107,38,53,3.28,Healthy
30.2,78.7,307.0,107,38,53,3.24,Non-Healthy
30.2,78.5,307.0,107,38,53,2.51,Non-Healthy
30.1,78.5,307.0,107,38,53,3.89,Healthy
30.1,78.9,307.0,107,38,53,3.15,Healthy
30.1,80.4,307.0,107,38,53,3.02,Healthy
30.1,78.9,307.0,107,38,53,3.22,Healthy
30.0,77.6,307.0,107,38,53,3.2,Healthy
30.0,79.7,307.0,107,38,53,3.18,Healthy
30.0,78.9,307.0,107,38,53,3.31,Healthy
29.9,77.3,307.0,118,42,57,3.4,Healthy
29.8,77.0,307.0,118,42,57,3.54,Healthy
29.7,77.9,307.0,118,42,57,3.33,Healthy
29.6,77.8,307.0,118,42,57,2.87,Healthy
29.6,79.1,306.0,118,42,57,3.6,Healthy
29.6,80.6,306.0,118,42,57,3.75,Healthy
29.5,78.7,306.0,118,42,57,1.75,Healthy
29.5,80.6,306.0,105,37,53,3.53,Healthy
29.5,79.7,307.0,105,37,53,3.66,Healthy
29.4,81.3,307.0,105,37,53,3.59,Healthy
29.4,79.2,306.0,105,37,53,3.61,Healthy
29.4,79.8,306.0,105,37,53,3.58,Healthy
29.4,80.7,306.0,105,37,53,3.53,Healthy
29.4,80.7,306.0,105,37,53,3.53,Healthy
29.5,79.2,306.0,105,37,53,3.55,Healthy
29.5,79.1,307.0,105,37,53,3.51,Non-Healthy
29.6,79.9,307.0,105,37,53,3.5,Healthy
29.6,81.9,306.0,105,37,53,3.51,Healthy
29.7,79.1,306.0,105,37,53,3.56,Healthy
30.3,75.6,306.0,105,37,53,3.53,Healthy
30.2,76.7,306.0,117,42,58,3.55,Healthy
30.2,76.2,306.0,117,42,58,3.53,Healthy
30.2,74.7,306.0,117,42,58,3.53,Healthy
30.2,75.8,306.0,117,42,58,3.49,Healthy
30.2,75.7,306.0,117,42,58,3.52,Healthy
31.2,95.0,587.0,117,42,58,3.49,Non-Healthy
